              m_Ca+2	               m_Cl-	               m_Na+	             m_CO3-2	             m_SO4-2	                m_O2	            m_S2O8-2	
  8.474770124192e-04	  4.990337780105e-03	  4.931231198609e-03	  9.174156204723e-15	  3.410395166965e-03	  1.000000000000e-03	  0.000000000000e+00	
  1.194151339986e-02	  4.991396628645e-03	  4.860835477918e-03	  1.070769690829e-05	  3.545033804809e-03	  1.000100658711e-03	  0.000000000000e+00	
